بهتره	C
تاحالا	N
ندیدیم	N
قرار	N
دارن	C

برای	N
تو	N
بهترین	N
حالته	C

من	N
به	N
افرادم	N
نمیگم	C
برگردن	C
که	N
فردا	N
دوباره	N
بفرستمشون	C

چه	F
هست؟	F
غذای	N
سگ	N
آلمانها	F

باعث	N
بشود	F
چیزها	F
از	N
هم	N
نپاشند	F

یک	F
شرط	N
گذاشتیم	N
امروز	N
چه	N
روزیه؟	C

پس	C
اینها	F
دیگر	F
رشد	C
نمی‌کنند؟	F

نه	N
من	N
رابطه	N
سالمی	N
با	N
هیچ	N
کس	N
ندارم	N

و	N
آخر	N
سر	N
حتی	N
درختای	C
بیشتری	N
درمیاد	C

یک	F
شکاف	N
کوچک	F
کنارش	N
دارد	F

فکر	F
می‌کنی	N
چقدر	N
عقب‌نشینی	N
کردند؟	F

از	N
صبحانه	N
نهار	F
لعنتی	N
متنفرم	N

و	N
اگه	C
معجزه	N
شد	N
و	N
جون	C
سالم	N
به	N
در	N
بردید	F
با	N
منور	N
علامت	N
بدید	C

و	N
اگر	N
با	N
همین	N
سرعت	N
برویم	F
جلو	N
بموقع	N
می‌رسیم	F

مواظب	N
باش	N
ممکنه	C
تله	N
های	F
دیگه	C
ای	F
هم	N
گذاشته	N
باشن	C

وقتی	N
دوربین	N
مخفی	N
رو	C
از	N
اتاق	N
بچه	N
اش	N
آوردن	C
بیرون	N

واقعاً	N
فکر	N
می‌کنی	N
هتل	N
با	N
اینجا	N
فرقی	N
دارد؟	F

نمی‌توانم	F
تا	N
گرگ	N
و	N
میش	N
یا	N
مه‌آلود	N
شدن	N
هوا	N
صبر	N
کنم	F

انریمور	F
که	N
تاحالا	N
سرزمین	N
بی	N
طرف	N
رو	C
ندیده	N

سرجوخه	N
بلیک	N
شجاعت	N
فوقالعاده‌ای	N
از	N
خود	N
نشان	N
داد	N

به	N
آن	F
بگو	N
که	N
نترسیده	N
بودم	N

کامیون‌های	F
نفربر	N
جا	N
دارند	F
قربان	N

اگه	C
موفق	N
نشید	N
همشون	C
قتل	N
عام	N
میشن	C

موفق	N
باشی	N
مراقب	N
باش	N
خراب	N
نکنی	N

اینطور	N
نیست	F
ستوان؟	N
بله	N
همینطور	N
قربان	N

روی	N
اون	C
تنه	N
درخت	N
اون	C
سنگین	N
تره	C

واقعا؟	N
آخه	F
انگار	N
داری	N
مواد	N
میکشی	N

نمی‌توانستند	F
بهتر	N
از	N
این‌ها	F
عقب‌نشینی	N
کنند؟	F

فکر	F
می‌کنم	N
به	N
دکتری	N
چیزی	N
شدید	N
نیاز	N
داری	N

یا	N
مسیح	N
سرباز	N
برو	N
فرمانده	N
رو	C
ببین	N

قرار	N
بود	N
چند	N
هفته	N
پیش	N
اتفاق	N
بیفته	C
گفتن	C
برای	N
کریسمس	N
میفرستنمون	C
خونه	C

متوقف	N
شدن	C
کنید	C
بله	N
قربان	N

ولی	N
سعی	N
نکن	N
با	N
لاس	N
زدن	N
با	N
داداشم	N
جوال	N
خودت	N
را	N
بهتر	N
کنی	N

خون	N
زیادی	N
از‌دست‌داده	N

ولی	N
بعضی	N
آدما	C
جنگ	N
طلبن	C

می‌بیند	C
یک	F
موش	N
نشسته	C
روی	N
شونه‌اش	C
و	N
دارد	F
روغن	N
روی	N
سرش	N
را	F
لیس	N
می‌زند	F

یک	F
شکاف	N
درون	N
سیم‌خاردار	N
هست	F

و	N
نمیخوام	C
یه	C
بابای	N
عوضی	N
باشم	N

ظاهرا	N
چهارده	N
کیلومتر	N
اونورتر	C
در	N
این	N
نقطه	N
یه	C
خط	N
جدید	N
رو	C
تشکیل	N
دادن	C

هی	N
دنیل	N
تا	N
حالا	N
ساکنان	N
کاتان	N
بازی	N
کردی؟	N

سوار	N
یک	C
الک	N
عازم	N
دریا	N
شدن	C

ولی	N
فکر	F
می‌کنم	N
دنیل	N
به	N
سطح	N
تو	N
نمی‌خورد	F

آره	N
اینجا	N
حتی	N
کشور	N
لعنتی	N
خودمونم	C
نیست	F

بدانجا	F
خواهم	N
رفت	N
تا	N
پدرم	N
را	F
ببینم	N

نه	N
از	N
اینجا	N
خوشم	N
نمیاد	C

تا	N
اون	C
موقع	N
شب	N
میشه	C

فکر	F
کردی	N
هتل	N
با	N
اینجا	N
فرقی	N
دارد؟	F

مثل	F
خر	N
ترسیدم	N
فکر	F
کردم	N
خونوادتن	C

جلوی	N
پاتو	C
ببین	N
ببخشید	N

فقط	N
این	N
منور	N
لعنتی	N
رو	C
شلیک	N
کن	N

خواهش	N
میکنم	N
من	N
الان	N
باید	N
برم	C
خواهش	N
میکنم	N

از	N
منطقه	N
بی‌طرف	N
خارج	N
از	N
باکوم	N
رد	N
شدیم	N

معبر	N
امنی	N
وجود	N
ندارد	F
قربان؟	N
یک	F
جایی	N
که	N
بتوانیم	F
بپریم	N
داخلش	N
و	N
برویم؟	F

و	N
آن	F
یهویی	N
به	N
ما	N
گفت	F

<	N
>	N
فقط	N
می‌روم	F
به	N
اردن	N
<	N
>	N

<	N
>	N
میرم	C
اونجا	C
به	N
دیدار	N
پدرم	N
<	N
>	N

برای‌همین	N
همه‌اش	F
را	F
می‌زند	F
به	N
سرش	N
و	N
می‌خوابد	F

دوونز	N
دوم	N
می‌خواهند	F
فردا	N
کمی	N
بعد	N
از	N
طلوع	N
آفتاب	N
به	N
خطشون	C
حمله	N
کنند	F

می‌دانی	F
مامان	N
من	N
وقتی	N
ما	N
نیستیم	F

این	N
هیچ‌وقت	N
مشکلی	N
نبوده	N

هوا	N
روشن	N
قربان	N
آن	F
ها	F
ما	N
را	N
می‌بینند	F

فکر	F
می‌کردم	N
می‌خواهند	F
ما	N
را	F
برای	N
پشتیبانی	N
یا	N
غذا	N
و	N
آذوقه	N
بفرستند	F

نگاش	C
کنین	C
لعنت	N
بهش	N

دست	N
بجنبانید	F
پسرها	F
یک‌دانه	F
درون	N
پاش	N
خورده	N

به	N
نظر	N
میاد	C
که	N
یه	C
خط	N
جدید	N
ساختن	C
نه	N
مایل	N
عقب	N
تر	N
از	N
این	N
جا	N
این	N
طور	N
که	N
معلومه	C

که	N
در	N
این	N
دنیای	N
غم‌بار	N
رهسپارم	N

ظاهرا	N
افسران	N
ارشد	N
از	N
کریسمس	N
و	N
برفبازی	N
خوششون	C
نمیاد	C

قربان	N
قربان	N

هوی	N
نمی‌گویی	F
با	N
این	N
کارت	N
ممکنه	C
دندونام	C
بریزد	F
بیرون؟	N

<	N
>	N
دیگر	F
برای	N
ولگردی	N
نمی‌روم	F
آنجا	F
<	N
>	N

تو	N
یک	F
برادر	N
داری	N
یک	F
ستوان	N
در	N
گردان	N
دوم	N
دوون	N
شایر	N

برگردید	N
برگردید	N
سر	N
جاهاتون	C
برگردید	N
برگردید	N
با	N
همه	N
توان	N
مقاومت	N
کنید	F

خب	N
یکی	N
به	N
آن	F
بده	N
کیلگور	N
مفید	N
واقع	N
شو	N

از	N
خط	N
جلوی	N
ضدحمله‌ی	N
احتمالی	N
دفاع	N
کنید	F
بله	N
قربان	N

با	N
جنده‌ها	N
حال	N
کنی	N

مرتیکه	N
چند	N
تا	N
خانه	F
داشت؟	F

ولی	N
فرمانده	N
نمی‌خواست	F
تو	N
برف	N
بجنگیم	N

باید	N
تو	N
را	N
ببرم	N
به	N
بهداری	N
نمی‌توانم	F

من	N
یک	F
مسافر	N
غریبه	N
هستم	F

مواظب	N
باش	N
ممکنه	C
تله	N
های	N
بیشتری	N
گذاشته	N
باشن	C

یه	C
شکاف	N
توی	N
سیم	N
خاردار	N
هست	F

از	N
کجا	N
می‌دانی	F
تو	N
که	N
حتی	N
این	N
زبون	C
را	F
به	N
زور	N
حرف	N
می‌زنی	N

درون	N
تختت	N
مردم	N
دارند	F
سکس	N
می‌کنند	F

زمانی	N
که	N
فهمیدم	N
دیگر	F
نمی‌توانم	F
بمونم	C
و	N
مجبورم	N
برگردم	N

طاقت	N
دوستمو	C
بریده	N
اوه	N
مولی	N

احتمالا	N
وحشت	N
کرده	N
خب	N
اون	C
از	N
افراد	N
ما	N
نیست	F

فقط	N
یک	F
تکه	F
حلبی	N
هم	N
نیست	F
روبان	N
به	N
آن	F
وصله	C

احتمالا	N
وحشت	N
کرده	N
خب	N
آن	F
از	N
افراد	N
ما	N
نیست	F

باید	N
با	N
خودت	N
می‌بردیش	N
خانه	F

تو	N
خیلی	N
نابالغ	N
تر	N
از	N
بیشتر	N
مردهایی	C

ولی	N
مقامات	N
بالا	N
اهل	N
خیالبافی	N
و	N
برفبازی	N
نیستن	C

به	N
تو	N
نمی‌خورد	F
اینقدر	C
گرسنه	N
باشی	N

حداقل	N
باید	N
صبر	N
کنیم	N
تا	N
هوا	N
تاریک	N
بشه	C

بهترین	N
قسمتش	N
این	N
بود	N
که	N
آن	F
آنقدر	F
روغن	N
زده	N
بود	N
به	N
خودش	N

فقط	N
میگم	C
که	N
باید	N
منتظر	N
بمونیم	C

از	N
اینقدر	F
زیاد	N
آدم	N
برای	N
چه	F
منو	C
انتخاب	N
کردی؟	N

می‌دانی	F
جوخه	N
یورک	N
کجا	N
هستند؟	F

میتونی	C
همه	N
رو	C
برداری	N
بفرما	N
همه	N
رو	C
بردار	N

بیخیال	N
بابا	N
کل	N
این	N
قضیه	N
خیلی	N
دیوونه	C
کنندس	C

باشد	F
اصلاً	F
فرض	N
می‌کنیم	N
که	N
آلمان‌ها	F
رفتن	C

حداقل	N
بهتر	N
از	N
تو	N
حرف	N
می‌زند	F
کوک	N

درازای	N
خط	N
مقدم	N
رو	C
بگیرین	C
تا	N
هنگ	N
یورک	N
شایر	N
رو	C
پیدا	N
کنین	C

در	N
صبحدمی	N
زمستانی	F
در	N
یک	F
روز	N
برفی	N

تو	C
خونه	C
ی	C
کس	N
دیگه	C
بودن	F
تورو	C
نمیترسونه؟	C

وظیفه	N
تون	C
این	N
هست	F
که	N
خطهای	F
دشمن	N
را	F
درهم	N
بشکنید	F

لازم	N
نیست	F
نگران	N
باشید	F
با	N
هیچ	N
مقاومتی	N
روبرو	N
نمیشید	F

شرط	N
می‌بندم	N
گفت	F
بخاطر	N
ترکش	N
بوده	N

همینطوری	N
ابر	N
هارو	C
تماشا	N
میکردن	C

خط	N
مقدم	N
را	F
جلو	N
بروید	F
تا	N
به	N
یورک‌ها	N
برسید	F

<	N
>	N
میدونم	C
که	N
ابرای	C
تیره	N
احاطم	C
میکنن	C
<	N
>	N

اینکه	N
چطور	N
گوشش	N
را	F
از	N
دست	F
داد؟	N

منم	N
همینطور	N
اینطوری	N
کاپکیک	N
هار	N
را	F
خودمان	F
می‌خوریم	N

با	N
شناختی	N
که	N
از	N
ستوان	N
بلیک	N
دارم	N
احتمالا	N
با	N
سربازهاش	F
حمله	N
کرده	N

چیزی	N
نیست	F
مشکلی	N
نیست	F

یکی	N
مثل	F
تو	N
دندان	F
می‌خواهد	F
چه	F
کار؟	N

هیچ	N
معبری	N
نیست	F
قربان؟	N
جایی	N
که	N
بپریم	N
داخلش	N
و	N
بریم؟	C

<	N
>	N
ولی	N
مزارع	N
طلایی	N
درست	F
پیش	N
روی	N
منه	C
<	N
>	N

گروهان	N
بی	N
خبردار	N
حالا	N
گوش	N
کنید	F
خوب	N
هم	N
گوش	N
کنید	F

سعی	N
میکنم	N
بهشون	C
اعتماد	N
به	N
نفس	N
بدم	C

فکر	F
کنم	N
میخواستن	C
از	N
اون	C
مسیر	N
بریم	N
تا	N
زنده	N
زنده	N
دفنمون	C
کنن	C

از	N
آنجا	F
باید	N
عبور	N
کنید	F

ولی	N
اگه	C
میخوای	C
داخل	N
هتل	N
کوچیک	C
آشغال	N
تو	N
شهر	N

و	N
سوار	N
بر	N
یک	F
آبکش	N
رفتن	C
به	N
دریا	N

اما	N
به	N
کمک	N
تو	N
هم	N
احتیاجه	C

دو	N
نفرشون	C
را	F
کشون	C
کشون	C
آوردیم	N
اینجا	N
ولی	N
خب	N
بیفایده	N
بود	N

خب	N
یکی	N
بهش	N
بده	N
کیلگور	N
مفید	N
واقع	N
شو	N

و	N
کل	N
هفته	N
رو	C
بگذرونی	C
یا	N
میخوای	C
بهت	N
خوش	N
بگذره؟	C

آنها	F
سوار	N
بر	N
یک	F
غربال	N
به	N
دریا	N
زدند	F

دلم	N
برای	N
بابا	N
تنگ	N
شده	N

هی	N
وایسا	C
رفیق	N
داری	N
کجا	N
میری؟	C

صف	N
آلمانی‌ها	F
را	F
شکستن	C

بخاطر	N
همین	N
بود	N
نرفتم	N
کشیش	N
بشم	C

<	N
>	N
من	N
یه	C
غریبه	N
دورگرد	N
بی	N
نوا	N
هستم	F
<	N
>	N

بالا	N
دیگر	F
جاندالار	N
یک	F
امتحانی	N
بکن	N
بگذار	F
ببینیم	N

احتمالا	N
چند	F
قدم	N
جلوتر	N
کمین	N
کردند	F

من	N
از	N
جلو	N
میرم	C
تو	N
از	N
پشت	N
برو	N

چه	N
خوب	N
تو	N
که	N
مدالت	N
رو	C
گم	N
کردی	N

در‌هر‌صورت	N
پر	N
از	N
جسدن	C
بهترین	N
شانستون	C
این	N
هست	F
که	N
از	N
اینجا	N
بروید	F

جلوش	C
رو	C
بچرخونین	C
سمت	N
چپ	N

ما	N
شرط	N
بستیم	F
امروز	N
چند	F
شنبه	F
است؟	F

سنگری	N
به	N
طول	N
پنج	N
کیلومتر	N
همراه	N
با	N
استحکامات	N
دفاعی	N
و	N
توپخانه	N

مچ	N
داداشت	N
را	F
وقتی	N
داشت	F
و	N
ید	N
می‌کشید	N
گرفتم	N

باید	N
جسدش	N
را	F
از	N
این	N
سنگر	N
لعنتی	N
با	N
شیلنگ	N
بشوی	N

فقط	N
آن	N
منور	N
کوفتی	N
را	F
شلیک	N
کن	N

باشه	C
فقط	N
جلوی	N
پاتو	C
نگاه	N
کن	N

حتی	N
از	N
قبل	N
تعداد	N
درختهای	F
بیشتری	N
میشن	C

نگاه	N
کن	N
اینقدر	C
بقیه	N
رو	C
هل	N
نده	N
پس	N
از	N
سر	N
راهم	N
برو	N
کنار	N

اما	N
وقتی	N
که	N
این	N
بازی	N
را	F
می‌کردم	N
بچه‌های	N
زیادی	N
این	N
را	F
بازی	N
می‌کردند	F

نذار	C
ساس	N
ها	F
گازت	N
بگیرن	C

نباید	N
زیاد	N
به	N
آن	F
فکر	F
کنی	N

گروهان	N
بی	N
دو	N
دقیقه	N
دیگه	C

مستقیم	N
برید	C
بعد	N
بپیچید	C
به	N
چپ	N
و	N
از	N
لاشه	N
اسبها	F
رد	N
بشید	C

پس	N
الان	N
به	N
عهده	N
توئه	C

در	N
عمق	N
پنج	N
کیلومتری	N
استحکامات	N
صحرایی	N
پدافند	N
توپ	N
خانه	F
که	N
نظیرشون	C
رو	C
تا	N
حالا	N
ندیدیم	C

فکر	F
کردم	N
الان	N
می‌خواهند	F
بفرستنمون	C
برای	N
پشتیبانی	N
غذایی	N
چیزی	N

ببین	N
برو	N
سرشون	C
رو	C
گرم	N
کن	N

بنظر	N
میاد	C
در	N
پانزده	N
کیلومتری	N
اینجا	N
استحکامات	N
دفاعی	N
جدید	N
درست	N
کرد	N
ن	C

تاحالا	N
چاه	N
دستشویی	N
به	N
این	N
مزخرفی	N
ندیدم	N

شرط	N
می‌بندم	N
که	N
به	N
تو	N
گفته	N
بخاطر	N
خمپاره	N
بوده	N

ساندرز	N
بهم	N
گفته	N
خیلی	N
از	N
نقشه	N
سر	N
در	N
میاری؟	C
راست	N
گفته؟	N

و	N
فقط	N
یک	F
تکه	F
حلبی	N
نیست	F
یک	F
روبان	N
هم	N
به	N
آن	F
وصله	C

<	N
>	N
جایی	N
که	N
رفعت	N
خدا	N
برای	N
همیشه	N
پابرجاست	F
<	N
>	N

وگرنه	N
تا	N
آخر	N
عمرش	N
باید	N
فکر	F
کنه	N
که	N
تو	N
کجایی؟	N

بالا	N
از	N
بغل	N
می‌شود	F
رفت	F

وقتی	N
که	N
منو	C
دزدید	N
من	N
حامله	N
بودم	N

یک	F
مو	N
روی	N
صابون	N
درون	N
دوش	N
بود	N

تو	N
به	N
آن	F
مدیونی	C
که	N
حداقل	N
سعیت	C
را	F
بکنی	N
و	N
از	N
اینجا	N
بروی	F
بیرون	N

منو	C
یادش	N
نمیاد	C
اینو	C
نگو	N

خیلی	N
خب	N
بچه	N
ها	F
بازم	C
جمعمون	C
جمع	N
شد	N

یک	F
شکاف	N
تو	C
سیم‌خاردار	N
هست	F

جایی	N
که	N
بندگان	N
مغفور	N
خدا	N
تا	N
ابد	N
در	N
آرامش	N
خوابیده‌اند	F

<	N
>	N
وقت	N
زیادی	N
صرف	N
ساختن	N
چیزی	N
که	N
ساختم	N
شد	N
<	N
>	N

هی	N
اخرین	N
کسی	N
که	N
رفت	F
بیرون	N
کی	N
بود؟	N

اون	N
چند	F
تا	N
خونه	C
داره؟	C

بگذارم	F
زمین	N
بگذارم	F
زمین	N
حرومزاده	C
لطفا	N
بگذارم	F
زمین	N

من	N
هیچ	N
علاقه	N
کوفتی	N
برای	N
دنیل	N
ندارم	N

باید	N
جسدش	N
را	F
از	N
این	N
سنگر	N
لعنتی	N
با	N
شیلنگ	N
بشوی	N

خب	N
از	N
اینکه	N
برنامه	N
ریزی	N
شلوغت	N
رو	C
خراب	N
کردم	N
عذر	N
میخوام	C

از	N
سر	N
راه	N
برو	N
کنار	N
سرجوخه	N

یک	N
خبرهایی	F
هست	F
تو	N
چیزی	N
نشنیدی؟	N

کل	N
شب	N
داشتیم	N
را	F
داشتیم	N
زمین	N
می‌کندیم	N
ما	N
آخرین	N
گروهانیم	N

واقعاً	N
فکر	F
می‌کنی	N
هتل	N
فرق	N
می‌کرد؟	N

آی	N
ممکن	N
بود	N
با	N
آن	F
بزنی	N
دندونام	C
را	F
بشکنی	N

خب	N
فک	C
کنم	N
به	N
برخی	N
غذاها	N
احتیاج	N
داریم	N

گروهان	N
برا	N
را	F
<	N
عدد	N
>	N
دقیقه	N
تا	N
حمله	N

نیازی	N
به	N
نگرانی	N
نیست	F
با	N
هیچ	N
دشمنی	N
برخورد	N
نمی‌کنید	F
