sentence,label
 بلیک  بیا درموردش حرف بزنیم,محاوره
< > می‌دانم راهم خیلی سخت و ناهموار است< >,رسمی
رود می‌رود آن جا درخت‌ها کروسی,رسمی
همین الان باید باهم بهم بزنیم,محاوره
موشها به ما کاری نداشتن ولی افتاده بودن به جان آن,رسمی
 سرباز کوک  خیلی خب  دوباره شروع شد بچه ها ,محاوره
پوششی هست قربان؟ جایی که بشود از او حمله کرد؟,رسمی
ولی عازم سرزمینی هستم,رسمی
با اولین علامت  گروهان آلفا پیشروی میکنه بعدش گروهان بتا به سمت خط مقدم حرکت کنه,محاوره
< > ولی مزارع طلایی درست پیشروی من هست< >,رسمی
اصلا خبر ندارن که قراره وارد چه هچلی بشن,محاوره
 خب  جون سالم به در بردی حداقل نشانت رو بنداز,محاوره
 به گروهبان ها بگو برگردن از زخمی ها مراقبت کنین,محاوره
یک منحرف درون تخت من هست,رسمی
و گردان دوم دوون دارند به سمت این نقطه پیشروی می‌کنند,رسمی
چون تا هوا تاریک نشود نمی‌توانیم بیایم دنبالتان,رسمی
زیر آبی چه؟ تاحالا زیر آب بودین؟,رسمی
 و ببینم تمام عزیزانم که رفته اند ,محاوره
  که در این دنیای غم بار رهسپارم  ,محاوره
خیلی خب پس این یکی چه؟,رسمی
خط مقدم را جلو بروید تا به یورک‌ها برسید,رسمی
راسی درون این دویست سالی که سرباز بودم این‌چنین,رسمی
 یا خدا  کارو برای خودشون سخت تر می کنن,محاوره
 باشه اصلا فرض میکنیم که آلمان ها رفتن,محاوره
که بیشتر از <عدد> ماه عمر کنه,محاوره
 بسوی خانه حقیقی خواهم رفت,محاوره
 ببین  آخرین باری که بهمون گفتن آلمان ها عقب نشینی کردن که خوب پیش نرفت,محاوره
تا نزدیکترین شهر< عدد> دقیقه راهه,رسمی
مزه گه می‌دهد خوب هست کس خل,رسمی
  می روم به اردن  ,محاوره
اما زمین‌های طلایی را در پیش دارم,رسمی
  باید شیشه رو برگردونی سر جاش,محاوره
شماها اوقات فراغتتون چی کار می کنید؟,محاوره
  کوتبرتز  کوئین آنز  مونه مورنسیز شیرین  ترش,محاوره
دارین می‌روید جنوب خندق احمق‌ها,رسمی
روی لیوان شراب لکه رژ لب بود,رسمی
میرم باهاش حرف بزنم واقعا کارش خوب نبود,محاوره
 ببندیش چند روز دیگه بازم میتونی جق بزنی,محاوره
خوب بعد از حمامت می‌توانی با آن قرار بگذاری,رسمی
یک‌خرده از آن شانس را نگه‌دار برای خودت رفیق فکر کنم لازم ت می‌شه,رسمی
بالا دیگر می‌توانی از کنار رد شی,رسمی
نمی‌توانست بشورش شده بود آهن‌ربا,رسمی
پس قصد داری بنشینی منو نگاه کنی؟,رسمی
البته تا وقتی شب نشه  ما نمیایم برداریمتون,محاوره
  من فقط غریب  رهرویی بی چاره ام  ,محاوره
پس حالا همه چه به تو محول شده؟,رسمی
دارید به سمت یک سنگر خراب شده می‌رید احمقهای دیوانه,رسمی
دارد همه چه می‌ریزد پایین,رسمی
  یه شب آلمانی ها صداشون در نیومد  حالا فکر کردن رفتن,محاوره
قربان  من دستور دارم که جلوی این حمله رو بگیرم,محاوره
برادرت  ما باید راه بیفتیم,محاوره
تو از نیروهای من نیستی نه قربان,رسمی
فضای را مستقیماً پشتشون می‌بینی,رسمی
تو به آن مدیونی که حداقل سعیت را بکنی و از اینجا بروی بیرون,رسمی
بابا داری مار تو آستینت بزرگ می‌کنی,رسمی
درست میگم  ستوان؟  بله قربان  همینطوره  ,محاوره
سرباز دوم بلیک شهامت بی‌نظیری از خود نشان,رسمی
  خیلی وقت نیست که رفتن,محاوره
امکان نداره که  بتونی بری تو  رفیق,محاوره
   بیدار شو  کیلگور  حیف نون,محاوره
نه  من چیزی رو درست نکردم,محاوره
 گفتم شاید اینجا یه خوراک درست گیرمون بیاد بخوریم,محاوره
خب اینطور نبود هی آن مسواک من هست؟,رسمی
دو شب پیش مثل سگ کشتنشون,رسمی
بهتر از تو زبانمان را بلده کوک,رسمی
عوضی ستوانمون را ناکار کرد یارو زخمیه,رسمی
زودباش دیگه  میتونی از کناره جاده رد بشی,محاوره
آن ها آن طرف خانه ان,رسمی
 سرباز دوم  بلیک  شهامت بی نظیری از خود نشان  ,محاوره
 خط مقدم رو جلو برید تا به  یورک ها  برسید ,محاوره
آره با این سرعتی که حرکت می‌کند مگر معجزه رخ بده,رسمی
روحشون هم خبر ندارد قرار هست چه بلایی سرشون بیاید,رسمی
مادرم پشت خانه یک باغچه دارد چندتا درخت داخلش هست,رسمی
درون کامیون زخمی‌ها جا هست قربان,رسمی
 برای خودت  بیا  همه رو بردار,محاوره
بخش نه و ده آماده باشند,رسمی
آن را به خانواده‌ات می‌دادی,رسمی
پس تا زمان غروب آفتاب وقت داریم ,محاوره
نقشه‌های هوایی خط جدید,رسمی
 ولی مقامات به خاطر برف مخالف بودن,محاوره
  خب پس اداشو در بیار جانگالار  نشون بده,محاوره
باشه  گروه ضربت در موقعیته و اماده برگردوندن برقه ,محاوره
بیخیال  چیش رو نفهمیدم؟  ,محاوره
نزدیکترین راه خروج کجا است قربان؟,رسمی
با شناختی که از ستوان بلیک دارم احتمال زیاد با سربازهاش تو حمله هست,رسمی
< > مطمئنی از پس دیدنش برمیآیی؟ < >,رسمی
  معطل نکن  بله قربان,محاوره
باید میذاشتیم آلمانیا نگهش دارن ,محاوره
اوه این خیلی حال بهم زن نه,رسمی
بیخیال  من اینکارو نکردم  اول اون شروع کرد  ,محاوره
حتماً شکایتت را به فرمانده میگم,رسمی
سیمهای خاردارمون کارتون رو سخت میکنن ولی هر طور شده یه راه خروج پیدا میشه,محاوره
گفتم که خوب بود حالا تو بگو,رسمی
منم خیلی رقصیدن دوست دارم,رسمی
مولی دانشگاه می‌رود خب منم دبیرستانی‌ام,رسمی
حتما موضوع مهمی ه که ژنرال اومده این جا,محاوره
پس اینها دیگه رشد نمیکنن؟,محاوره
بهتر بود فقط از یک هتل اجاره می‌کردیم,رسمی
می‌توانی بیخیالش بشوی؟ نه قربان,رسمی
ولی برای ایشان خیلی خوب شد,رسمی
سرباز بلیک در راه نجات هم رزمش ,محاوره
حالا ازتون میخوام که سریع باشید متوجه شدید؟ متوجه شدید؟,محاوره
این چیزیه که اون روش حساب می کنه,محاوره
قرار بود چند هفته پیش حمله کنند گفته‌اند تا قبل از کریسمس ما را میفرستند خانه,رسمی
ناامید نشو ظاهرا عقب‌نشینی استراتژیکیه,رسمی
و پیش روانپزشک مرکز فرستاده شد,رسمی
  در مورد خودت بگو,محاوره
پس چه اتفاقی براش افتاد؟  چرا واست اهمیت داره؟  ,محاوره
چرا راحت و بی دردسر بیخیال نمیشن؟,محاوره
اگر یک سرباز را دیدی اسلحه تو اینطوری بیاور بالا اینطوری؟,رسمی
تو یک آدم کوچولو است چندشی,رسمی
نهریال اون بچه هم نه,محاوره
دارید به سمت یک سنگر تخریب شده می‌رید احمقای دیوانه,رسمی
ممکنه گیلاس  دوک  باشن  وقتی هنوز بار نیومدن  تشخیص ش سخته,محاوره
تو یک برادر ستوان در گردان دوم دوونز داری؟,رسمی
این قلمروی دشمن هست روح مونم خبر ندارد که داریم پا درون چه می‌گذاریم,رسمی
اگر نتونین یک کشتار بزرگ صورت می‌گیرد,رسمی
ولی بعضی آدم‌ها فقط می‌خواهند بجنگند,رسمی
اصلا فکرشم نمی کردم که می تونه این طوری باشه,محاوره
 برو یکی به جراحاتت برسه,محاوره
چقدر طول میکشه که به اونجا برسی؟,محاوره
الآن بلند می شیم  الآن بلند می شیم,محاوره
  مثلا  اون یه جورایی ازش گذشته  می دونی  مثلا اون به فکر افتاده,محاوره
 کاش به اون موش شلیک می کردم,محاوره
رودخانه به آنجا می‌رود درختها کروزیل,رسمی
هی کی آخرین بار آمده بیرون؟,رسمی
گردان دوم قراره فردا اندکی بعد از سپیده دم به اون خط حمله کنه,محاوره
  و اگه بتونه خطشون رو الان بشکنه  اوضاع رو عوض میکنه,محاوره
اوه اینجا گذاشتندش؟  صبر کن <عدد>؟,محاوره
هی راننده  چطور برای تنوع هم که شده توی جاده لعنتی برونی؟,محاوره
خط لمان حدودا< عدد> یارد بعدشه,رسمی
خب حتماً عدم تمایلت را به دستور می‌رسانم,رسمی
من بیشتر از وقتی که آن زنده بود اینجام,رسمی
تو میتونی بدون من بری من خودم رو بهت میرسونم,محاوره
  نمی تونست بشورش  شده بود آهن ربا,محاوره
خاک دشمن نمی‌دانیم داریم وارد چه قضیه‌ای میشیم,رسمی
همه چی داره آوار می شه  یالا,محاوره
تو لیاقتت بیشتر از آن کثافته,رسمی
خاطرجمع شو که شاهدینی وجود داشته باشد,رسمی
هانی‌ها یک کاری می‌خواهند بکنند,رسمی
  توی سیم خاردار یه حفره هستش,محاوره
ولی بعضی افراد فقط دل شون جنگ می خواد,محاوره
خب نگذاشتی هی آن مسواک من هست؟,رسمی
اون وصیله هاشو خونه ی من جا گذاشت برای همین منم  ,محاوره
شروع می‌کند بالا آوردن و ماییم که تو دردسر می‌افتیم,رسمی
 خب الان گزینه هامون چین  گروهبان؟,محاوره
 اگر بیفتید داخلشون  دیگه بیرون نمیاید ,محاوره
خدایا من با این چه کار کنم آخر؟ برو با فرمانده حرف بزن,رسمی
کل شب رو طول کشید,محاوره
آنجا چه داری؟ نان و ژامبون,رسمی
بنظر خودت میتونی به موقع برسی اونجا؟,محاوره
بهتر بود هتل می‌گرفتیم,رسمی
امکان ندارد که بتوانی بروی تو رفیق,رسمی
من از در جلو می‌روم تو از در پشتی,رسمی
   در پناه حق باشد که خدا تمامی,محاوره
 و بدتر از همه اونقدر به سرش روغن مالیده بود,محاوره
بعضی وقتا می ذاره از زیرزمین بیاییم بیرون,محاوره
یک ثانیه وقت بده,رسمی
 یکی مثل تو دندون میخواد چیکار؟,محاوره
< >   دارم میرم خونه به دیدار مادرم  < >,محاوره
 بیا  یکم از مال من بخور,محاوره
یه نامه برای مادرم مینویسی؟,محاوره
 و همرزم خود را از مرگ حتمی نجات داد و این مدال بدین سبب  ,محاوره
ظاهرا افسران ارشد از کریسمس و برفبازی خوششون نمی‌آید,رسمی
اگر بخواهی می‌توانی بروی خانه,رسمی
  یا خدا  نه  یا خدا  نه,محاوره
و اگر بتونه خطشون را الان بشکند اوضاع را عوض می‌کند,رسمی
مثلا قرار بود اون سروان بوفوی باشه؟,محاوره
و چرا اینقدر از این آدم‌ها وجود دارد؟,رسمی
بخاطر همین بود نرفتم کشیش بشوم,رسمی
ما فکر کنم دو به یک یم,رسمی
اگر دلت می‌خواهد می‌توانی برگردی به آن خانه لعنتیت,رسمی
تو خدا به را من الآن باید بروم تو خدا به را,رسمی
ورودیش خیلی باریکه هیچکس هم صدامون را نمی‌شنود,رسمی
  خیلی خب  دوباره راه افتادیم پسرا,محاوره
خیلی خب می‌توانی فقط یک فرصتی به آن جا بدی؟,رسمی
به خانواده‌ای که درون شهر سیلور هست بده,رسمی
  صدها هزاران ساعت فیلم روی هارد دیسک ها,محاوره
همه کنار استخر هستن؟  اره ,محاوره
در این دنیای پر از غصه سیاحت می‌کنم,رسمی
با یک شب آرام و مقامات فکر کردند هانی‌ها رفتن خانه؟,رسمی
  صف آلمانی ها رو شکستن,محاوره
نباید این کار را بکنید خواهش می‌کنم افرادتون را نفرستید,رسمی
نمی دونستم برای چه کاری  دارم انتخابت می کنم,محاوره
اونجا از اون خیلی خوب ها داری,محاوره
نمی‌دانستم برای چه انتخابت می‌کنم,رسمی
آلمانها قصد انجام تحرکاتی را دارند,رسمی
تو بهش مدیونی که حداقل سعیت رو بکنی و از اینجا بری بیرون,محاوره
بعد میبینن که ایا هنوز همو دوس دارن,محاوره
سریعا برید  از این خندق به سمت غرب برید  تا خیابان ساکی هال  بعد شمال غرب تا کوچ   پارادایس  در خط مقدم ,محاوره
هی دنیل تاحالا مهاجران کاتان را بازی کردی؟,رسمی
  گردان دوم قراره فردا صبح اول وقت  حمله کنه,محاوره
یه زوجی رو میشناسم که اشتباهی حامله شدن,محاوره
 سرجوخه های هم ردیف  بلیک و اسکافیلد  قربان,محاوره
لعنتی‌ها چرا فقط تسلیم نمی‌شوند؟,رسمی
 فقط واسه همین کشیش نشدم,محاوره
خون زیادی از‌دست‌داده,رسمی
  تا پل بعدی <عدد> کیلومتر راه ه مجبوریم تغییر مسیر بدیم,محاوره
 پس حتما نارضایتیت رو به بالا گزارش میدم,محاوره
می‌دانی مثلاً چه اتفاقی درون زندگیشون می‌افتد که از حد خودشان می‌گذرند,رسمی
معبر امنی وجود ندارد قربان؟ یک جایی که بتوانیم بپریم داخلش و برویم؟,رسمی
کمر به پایین ش رو گهی کرد,محاوره
  با الکی آنها به دریا رفتند  ,محاوره
باید سعی کنی حرکت کنی بگذار بنشینیم,رسمی
هتل اورلوک کارهای بیشتری برای انجام دادن داشت,محاوره
اگه بیفتید داخلشون دیگه بیرون اومدنی در کار نیست  از این طرف,محاوره
  خط آلمانی <عدد> متر اونوتره,محاوره
تو در گردان دوم  دوون  یه برادر داری؟,محاوره
یک تکه قلع نیست روش نوار هم هست,رسمی
  خدایی اصلا کارو آسون نکردن,محاوره
  که در این دنیای غم بار رهسپارم  ,محاوره
وقتی من حمام بودم فهمیدم که تو خانه‌ای,رسمی
ستوان لزلی فرماندهی را به عهده دارد,رسمی
همینطور کنار خط مقدم بروید جلو تازمانی‌که به یورکی‌ها برسید,رسمی
و با کمک تو  دلم می خواد که همین طور بمونه,محاوره
واحدهای نه و ده آماده بشید ,محاوره
زودباش برو دیگر از کنارش که می‌توانی رد بشوی,رسمی
 بیدار شو  کیلگور بی مصرف آشغال ,محاوره
اره لازم نیس بهم بگی,محاوره
 ولی بعضی ها فقط درگیری رو میخوان ,محاوره
  ببین  مدال فقط یه تیکه قلعه,محاوره
هتل اورلوک کارهای بیشتری برای انجام دادن داشت,رسمی
  نه  سرگرد  اگه تعلل کنیم شکست می خوریم  ما فقط پونصد متر با پیروزی فاصله داریم,محاوره
و اگر بتونه خط جدیدشون را درهم بشکند می‌تواند نتیجه جنگ را تغییر بده,رسمی
یعنی ما نمی‌توانیم یک شب با مادرت تنها باشیم؟,رسمی
اون حرومزاده کوچولو رو ببین ,محاوره
سرهنگ  مکنزی  هنوز عکسهای هوایی جبهه جدید دشمن رو ندیده,محاوره
من قرار نیست کم بیاورم و بخاطر کتاب بمیرم,رسمی
می‌روم به اردن,رسمی
آن دستور دارد خیل خب باشد,رسمی
دست هفت یک‌دقیقه,رسمی
که در این دنیای غم‌بار رهسپارم,رسمی
من و مادرت می‌توانیم یک شب برای خودمان برویم بیرون؟,رسمی
  شرط می بندم بهت گفته گلوله انفجاری زدش,محاوره
مثلاً قرار بود آن سروان بوفوی باشد؟,رسمی
  به اینکه دارمون بزنی,محاوره
بعد کس دیگری جواب داده؟,رسمی
  دست بجنبونید  پسرا یه دونه توی پاش خورده,محاوره
چه هست؟ گوشت سگ آلمانی,رسمی
وگرنه تمام زندگیش را با این فکر سپری می‌کند که تو کجایی,رسمی
  دارم بهت میگم سیمو بکش   نه  روبرتو  ,محاوره
باید صبر کنی تا موج اول حمله تموم بشه,محاوره
  خیلی خب  زودباشین بچه ها  زود باشین زودباشین  بچه ها,محاوره
سه‌ساله داریم سرش می‌جنگیم,رسمی
اونی که خودت تاحالا شروع کردی,رسمی
فکر کنم تو باید  دکتری یا چیزی ببینی,محاوره
مزه گه می‌دهد خوب هست کس خل,رسمی
این عوضی گروهبان مون را نقش زمین کرد آن بدبخت مجروح هست,رسمی
فقط این نامه را بخوانید,رسمی
باید خودم را به گردان دوم دوونز برسانم که تازه از اکو است رد شدن,رسمی
پل سقوط کرده   اوه چه بد  ,محاوره
  متنفر بودم از برگشتن به خونه  متنفر بودم,محاوره
حالا قرار هست چه اتفاقی بیافتد گروهبان؟,رسمی
 آره  ما دی کمپانی هستیم شب رو گشت زدیم,محاوره
و اگر توی اون جهت بمونیم  احتمالا می رسیم,محاوره
یک شرط گذاشتیم امروز چه روزیه؟,رسمی
دیروز صبح خبر داد و گفت قرار هست به آلمانی‌هایی که در حال عقب‌نشینی هستند حمله کند,رسمی
سرجوخه بلیک شجاعت کم‌نظیری در نجات,رسمی
با صدای اولین سوت پیشروی می‌کنیم,رسمی
اگر اینکار را نکنین قتل‌عام رخ می‌دهد,رسمی
ما دو نفر بودیم من با برادر ایشان فرستاده شده بودم این جا,رسمی
پوششی هست قربان؟ جایی که بشود از او حمله کرد؟,رسمی
 شایدم گیلاس  دوک  باشه وقتی هنوز میوه نداده تشخیص نوعش سخته,محاوره
گردان دوم قرار هست فردا اندکی بعد از سپیده دم به آن خط حمله کند,رسمی
  قبل از اینکه متولد بشه من اینجا بودم,محاوره
فکرنمیکنم اونقدرا هم گرسنه باشی,رسمی
سیم خاردارهای ما داغون هستن  ولی یه جورایی از لاشون یه راهی هست,محاوره
اوه  بازم مانع  این دفعه دیگه چیه؟  نگو بازم یه درخت لعنتیه,محاوره
یک برادر داری؟ یک ستوان درون جنگ دوونز دوم؟,رسمی
< > درون آن سرزمین درخشانی که دارم بسمتش می‌روم< >,رسمی
بوی خیلی خوبی داشته مثل شیره,رسمی
به نظر متروکه می‌آید بیا امیدوار باشیم,رسمی
  نیازی به نگرانی نیست  با هیچ دشمنی برخورد نمی کنید,محاوره
تو بهش مدیونی که حداقل سعیت رو بکنی و از اینجا بری بیرون,محاوره
 در این امید بودم که امروز بالاخره همه چی تموم میشه,محاوره
درون نقشه نوشته اگر از آن تپه بگذریم یک مسیر باز به اکو است می‌بینیم,رسمی
جیک بوگندو توی  ارس  یادت میاد؟,محاوره
نقشه چراغ‌قوه نارنجک و چندتا آذوقه کوچک,رسمی
گر جهنم یا عرش اعلا میروی آنکه تنها میرود زودتر رسد,محاوره
نمیدونستم برای چی دارم انتخابت میکنم,محاوره
 به نیروی امداد بگید به زخمی ها رسیدگی کنند,محاوره
  و اگر بنا به یه معجزه زنده موندید  یه منور هوا کنید,محاوره
دستور توقف حمله فردا صبح,رسمی
  اون آدم خوبی به نظر می رسه   هوم  آره  ,محاوره
خودت شنیدی چه گفت گفت آلمانی‌ها از آنجا رفتن,رسمی
پل بعدی <عدد> کیلومتر دورتره باید از یه مسیر دیگه بریم ,محاوره
  جوخه <عدد>  یه دقیقه دیگه,محاوره
  باید یه جنگل در سمت جنوب شرقی پیدا کنم,محاوره
 فکر می کنه اونا دارن فرار می کنن,محاوره
تو رو خدا چرا منو انتخاب کردی؟,محاوره
  نقشه  چراغ قوه  نارنجک و چندتا آذوقه کوچیک,محاوره
اگر نتونید این را برسانید یک قتل‌عام رخ می‌دهد,رسمی
الان مثلاً ادای فرمانده بیوفوی را درآوردی؟,رسمی
یا سوار تمام ترن‌های هوایی بروکلین؟,رسمی
 ولی نمی دونن چی در انتظارشونه,محاوره
  حداقل نه موقعی که اون حرومزاده ها دارن فرار می کنن  این آخرین مقاومت اوناست,محاوره
 هفته ی دیگه همین روز ناهار   جوج  میزنی ,محاوره
من مدت طولانی‌ای اینجام بعضی وقت ها حس می‌کنم که,رسمی
خندق های خودشون رو هم نابود کردن,محاوره
باید راه خروجی از اینجا وجود داشته باشد,رسمی
قبل از این که ازدواج کنیم,محاوره
آلمانی هایی که تیر زیاد دارن  حرومزاده ها  ,محاوره
 اون منور کیری رو شلیک کن,محاوره
حداقل بهتر از تو حرف می‌زند کوک,رسمی
محض رضای خدا پسر برو و کاپیتان را ببین,رسمی
بدانجا خواهم رفت تا پدرم را ببینم,رسمی
سه‌ساله داریم سرش می‌جنگیم,رسمی
وقتی از دومین سیم‌خاردار رد شدین دنبال مرد خموده بگردید,رسمی
یک نفر را می‌فرستم که زخم‌هات را ببیند,رسمی
از آنجا رد میشید,رسمی
احتمالا نزدیک‌های پیچ بعدی باشند,رسمی
و اینکه روزای روز هیچ غذایی از اون دریچه بیرون نیاد,محاوره
  و شاید دیگه هیچوقت منو نبینن,محاوره
پس چه اتفاقی برای آن افتاده؟ چرا برای تو مهم هست؟,رسمی
بوش مثل لباس زیر قدیمه,رسمی
باید با خودت می‌بردیش خانه,رسمی
تو فقط می‌خواهی این اطراف بنشینی,رسمی
چیه؟ کی آخرین نفر اومد بیرون؟,محاوره
باید بروم پیش دوونز دوم بعد ایکوست,رسمی
تو هم کاش یک ابله دیگر را با خودت میوردی,رسمی
بیدار شو  کیلگور بی مصرف احمق,محاوره
نقشه تا بتوانی دروغ شدن را بگیری,رسمی
گردان نیوفندلند پیشروی کردند و درخواست پشتیبانی کردند,رسمی
می‌شود از کنارش رد شد؟,رسمی
راننده چطور هست برای یبارم شده برای تنوع درون مسیر رانندگی کنی؟,رسمی
جایی که خدا رستگار کرده درش به خواب ابدی فرو خواهم رفت,رسمی
احتمالا این بلا را سرش آورده و ماشینش را دزدیده,رسمی
 اگه یه مدال داشتم می بردمش خونه چرا نبردیش خونه؟,محاوره
دارم از حالگیری تو لذت می‌برم,رسمی
آخرین پایمرد ,محاوره
اگر اوکی بودن می‌توانند بعدش فقلمم ببینند,رسمی
می‌روم تا عزیزان و از دست دادگانم را ببینم,رسمی
من یک مسافر غریبه هستم,رسمی
نه مایل چقدر برای ما زمان می برود چقدر شش ساعت؟ نهایتا هشت ساعت,رسمی
هستند سرزمین‌هایی که پستاندارن زندگی می‌کنند,رسمی
اینطوری نیست لطفا سربازهاتون را نفرستید,رسمی
دوستم رو اذیت میکنه  مولی  ,محاوره
سرجوخه بلیک و اسکوفیلد قربان,رسمی
روی لیوان شراب لکه رژ لب بود,رسمی
سلام  شما  امی  هستید از شرکت واکی سوآپ؟,محاوره
گردوخاک  خیلی گردوخاک رفته توی چشم م,محاوره
حوا است به خط الراس باشد,رسمی
عالی شد  آخرین خونه کیلومترها عقب تر بود,محاوره
  مادرم باغ داره  فقط چندتا درختن,محاوره
تعطیلات بهار سال پیش رفتیم فلوریدا,رسمی
جایی برای نگرانی نیست هیچ کس جلوتون نخواهد بود,محاوره
